substrate	smiles	d_substrate	d_smiles	nme_substrate	nme_smiles	nme_d_substrate	nme_d_smiles
isoleucine	CC[C@@H]([C@H](N)C(O)=O)C	D-allo-isoleucine	CC[C@@H]([C@@H](N)C(O)=O)C	NMe-isoleucine	CN[C@H](C(O)=O)[C@@H](C)CC	NMe-D-allo-isoleucine	CN[C@@H](C(O)=O)[C@@H](C)CC
isovaline	CC[C@](N)(C(O)=O)C	D-isovaline	CC[C@@](N)(C(O)=O)C	NMe-isovaline	CN[C@@](C(O)=O)(C)CC	NMe-D-isovaline	CN[C@](C(O)=O)(C)CC
kynurenine	O=C(C[C@H](N)C(O)=O)c1c(N)cccc1	D-kynurenine	O=C(C[C@@H](N)C(O)=O)c1c(N)cccc1	NMe-kynurenine	CN[C@H](C(O)=O)CC(=O)c1c(N)cccc1	NMe-D-kynurenine	CN[C@@H](C(O)=O)CC(=O)c1c(N)cccc1
lactic acid	CC(O)C(O)=O						
leucine	CC(C[C@H](N)C(O)=O)C	D-leucine	CC(C[C@@H](N)C(O)=O)C	NMe-leucine	CN[C@H](C(O)=O)CC(C)C	NMe-D-leucine	CN[C@@H](C(O)=O)CC(C)C
leucinol	CC(C[C@H](N)CO)C						
linoleic acid	CCCCC/C=C\C/C=C\CCCCCCCC(O)=O						
lysine	O=C(O)[C@@H](N)CCCCN	D-lysine	O=C(O)[C@H](N)CCCCN	NMe-lysine	CN[C@H](C(O)=O)CCCCN	NMe-D-lysine	CN[C@@H](C(O)=O)CCCCN
malic acid	O=C(O)C(O)CC(O)=O						
malonamate	NC(CC(O)=O)=O			NMe-malonamate	CNC(CC(O)=O)=O		
meta-tyrosine	O=C(O)[C@@H](N)Cc1cccc(O)c1	D-meta-tyrosine	O=C(O)[C@H](N)Cc1cccc(O)c1	NMe-meta-tyrosine	CN[C@H](C(O)=O)Cc1cccc(O)c1	NMe-D-meta-tyrosine	CN[C@@H](C(O)=O)Cc1cccc(O)c1
methionine	CSCC[C@H](N)C(O)=O	D-methionine	CSCC[C@@H](N)C(O)=O	NMe-methionine	CN[C@H](C(O)=O)CCSC	NMe-D-methionine	CN[C@@H](C(O)=O)CCSC
methylglutaconyl hydroxyornithine	C/C(/CC(O)=O)=C\C(N(O)CCCC(N)C(O)=O)=O			NMe-methylglutaconyl hydroxyornithine	CNC(C(O)=O)CCCN(O)C(=O)/C=C(/CC(O)=O)\C		
nicotinic acid	OC(=O)c1cccnc1						
norcoronamic acid	C[C@H]1C[C@@]1(N)C(O)=O			NMe-norcoronamic acid	CN[C@@](C(O)=O)(C1)[C@H]1C		
ochratoxin beta	CC(OC2=O)Cc1c2c(O)c(C(O)=O)cc1						
ornithine	NCCC[C@H](N)C(O)=O	D-ornithine	NCCC[C@@H](N)C(O)=O	NMe-ornithine	CN[C@H](C(O)=O)CCCN	NMe-D-ornithine	CN[C@@H](C(O)=O)CCCN
p-hydroxymandelate	O=C(O)C(O)c1ccc(O)cc1						
para-aminobenzoic acid	O=C(c(cc1)ccc1N)O						
pentanoic acid	CCCCC(O)=O						
